BLOQUE,APELLIDO,NOMBRE,PROVINCIA,PARTIDO O ALIANZA POR EL QUE INGRESÓ,DESIGNACIÓN LEGAL,CESE LEGAL,DESIGNACIÓN REAL,CESE REAL,EMAIL,TELEFONO,FACEBOOK,TWITTER,INSTAGRAM,YOUTUBE
FRENTE NACIONAL Y POPULAR,CORPACCI,LUCIA BENIGNA,CATAMARCA,FRENTE DE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,lucia.corpacci@senado.gob.ar,1435 / 1403,,,,
MOVIMIENTO NEUQUINO,CREXELL,CARMEN LUCILA,NEUQUÉN,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09,2019-12-10,Sin Datos,lucila.crexell@senado.gob.ar,3550 / 1411,,https://twitter.com/LucilaCrexell,,
FRENTE PRO,CRISTINA,ANDREA MARCELA,CHUBUT,JUNTOS POR EL CAMBIO CHUBUT,2023-12-10,2027-12-09,2023-12-10,Sin Datos,andrea.cristina@senado.gob.ar,3453,https://www.facebook.com/AndreaCristina.Chubut?mibextid=LQQJ4d,https://x.com/andycristina07?s=11,https://www.instagram.com/andreacristina.chubut?igsh=Y2hzbzE3MWEyaGxl,
FRENTE PRO,DE ANGELI,ALFREDO LUIS,ENTRE RÍOS,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09,2019-12-10,Sin Datos,alfredo.deangeli@senado.gob.ar,3580 / 81 / 82 / 84,,https://twitter.com/alfredodeangeli,,
UNIDAD CIUDADANA,DE PEDRO,EDUARDO ENRIQUE,BUENOS AIRES,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,eduardo.depedro@senado.gob.ar,1069 / 1073 / 1080,https://www.facebook.com/wadodecorrido,https://twitter.com/wadodecorrido,https://www.instagram.com/wadodecorrido,https://www.youtube.com/wadodecorrido
UNIDAD CIUDADANA,DI TULLIO,JULIANA,BUENOS AIRES,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,juliana.ditullio@senado.gob.ar,1084 / 1098,,,,
UNIDAD CIUDADANA,DOÑATE,CLAUDIO MARTÍN,RÍO NEGRO,FRENTE DE TODOS,2019-12-10,2025-12-09,2019-12-10,Sin Datos,martin.donate@senado.gob.ar,1060,,,,
UNIDAD CIUDADANA,DURÉ,MARÍA EUGENIA,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",FRENTE DE TODOS,2019-12-10,2025-12-09,2019-12-10,Sin Datos,maria.dure@senado.gob.ar,3302,,,,
UNIDAD FEDERAL,ESPÍNOLA,CARLOS MAURICIO,CORRIENTES,FRENTE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,carlos.espinola@senado.gob.ar,1222 / 1225 / 3183 / 3190,,https://twitter.com/espinolacamau,,
UNIÓN CÍVICA RADICAL,FAMA,FLAVIO SERGIO,CATAMARCA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,flavio.fama@senado.gob.ar,1396,https://www.facebook.com/flaviofamaoficial,https://twitter.com/ flaviofama,https://instagram.com/flaviofamaoficial,
UNIDAD CIUDADANA,FERNÁNDEZ SAGASTI,ANABEL,MENDOZA,FRENTE DE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,anabel.fernandezsagasti@senado.gob.ar,1535 / 1467,https://www.facebook.com/anabelfsagasti,https://twitter.com/anabelfsagasti,https://www.instagram.com/anabelfsagasti,https://www.youtube.com/anabelfsagasti
POR SANTA CRUZ,GADANO,NATALIA ELENA,SANTA CRUZ,ALIANZA POR SANTA CRUZ,2023-12-10,2029-12-09,2023-12-10,Sin Datos,natalia.gadano@senado.gob.ar,3321 / 3353,,,,
UNIÓN CÍVICA RADICAL,GALARETTO,EDUARDO HORACIO,SANTA FE,JUNTOS POR EL CAMBIO,2023-12-10,2027-12-09,2023-12-10,Sin Datos,eduardo.galaretto@senado.gob.ar,3543 / 3544,,,,
UNIDAD CIUDADANA,GARCÍA LARRABURU,SILVINA MARCELA,RÍO NEGRO,FRENTE DE TODOS,2019-12-10,2025-12-09,2019-12-10,Sin Datos,silvina.garcialarraburu@senado.gob.ar,3587/3590,https://www.facebook.com/Silvina-García-Larraburu-147895613528/,https://twitter.com/,https://instagram.com/garcialarraburu/,https://youtube.com/channel/UCfsYLk17ffJTNto2_ScC7jQ
UNIDAD CIUDADANA,GIMÉNEZ,NORA DEL VALLE,SALTA,FRENTE DE TODOS,2019-12-10,2025-12-09,2019-12-10,Sin Datos,nora.gimenez@senado.gob.ar,3535 / 3583 / 1352,,,,
UNIDAD CIUDADANA,GIMÉNEZ NAVARRO,MARÍA CELESTE,SAN JUAN,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,mcgimeneznavarro@senado.gob.ar,8709 / 1340 / 1342 / 1332,,,,
FRENTE PRO,GOERLING LARA,ENRIQUE MARTIN,MISIONES,JUNTOS POR EL CAMBIO,2023-12-10,2029-12-09,2023-12-10,Sin Datos,martin.goerling@senado.gob.ar,3126 / 3135,,,,
FRENTE NACIONAL Y POPULAR,GONZÁLEZ,MARÍA TERESA MARGARITA,FORMOSA,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,maria.gonzalez@senado.gob.ar,1325 /1327,,,,
FRENTE PRO,HUALA,MARÍA VICTORIA,LA PAMPA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,victoria.huala@senado.gob.ar,8340 / 3471,,,,
FRENTE PRO,JUEZ,LUIS ALFREDO,CÓRDOBA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,luis.juez@senado.gob.ar,1374 /1375 / 1377 / 1378,https://www.facebook.com/LuisAlfredoJuez,https://twitter.com/ljuez,https://www.instagram.com/luisalfredojuez,
UNIÓN CÍVICA RADICAL,JURI,MARIANA,MENDOZA,FRENTE CAMBIA MENDOZA,2021-12-10,2027-12-09,2021-12-10,Sin Datos,mariana.juri@senado.gob.ar,1450 / 1453,,https://twitter.com/mariana_juri,https://www.instagram.com/marianajuri.ok,
UNIDAD CIUDADANA,KIRCHNER,ALICIA MARGARITA ANTONIA,SANTA CRUZ,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,alicia.kirchner@senado.gob.ar,1389 / 1390,,,,
UNIÓN CÍVICA RADICAL,KRONEBERGER,DANIEL RICARDO,LA PAMPA,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,daniel.kroneberger@senado.gob.ar,1321 / 1324,https://www.facebook.com/kronebergerdaniel,https://twitter.com/Dkroneberger,https://www.instagram.com/kroneberger_daniel/?hl=en,
UNIDAD CIUDADANA,LEAVY,SERGIO NAPOLEÓN,SALTA,FRENTE DE TODOS,2019-12-10,2025-12-09,2019-12-10,Sin Datos,sergio.leavy@senado.gob.ar,1487 / 1488 / 1512,https://www.facebook.com/ElOsoLeavy,https://twitter.com/ElOsoLeavy,https://www.instagram.com/osoleavy,https://www.youtube.com/c/SergioOsoLeavy
FRENTE NACIONAL Y POPULAR,LEDESMA ABDALA DE ZAMORA,CLAUDIA,SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,2019-12-10,2025-12-09,2019-12-10,Sin Datos,claudia.ledesma@senado.gob.ar,8866 / 8835 / 8763 / 8834,,,,
FRENTE NACIONAL Y POPULAR,LEWANDOWSKI,MARCELO NESTOR,SANTA FE,FRENTE DE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,marcelo.lewandowski@senado.gob.ar,1215,,,,
UNIDAD CIUDADANA,LINARES,CARLOS ALBERTO,CHUBUT,FRENTE DE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,carlos.linares@senado.gob.ar,1373 / 1371 / 1368,https://www.facebook.com/LinaresCarlosCR,https://twitter.com/LinaresCarlosCR,https://www.instagram.com/carloslinarescr/,
UNIÓN CÍVICA RADICAL,LOSADA,CAROLINA,SANTA FE,JUNTOS POR EL CAMBIO,2021-12-10,2027-12-09,2021-12-10,Sin Datos,carolina.losada@senado.gob.ar,5421 / 1426 / 1423,https://www.facebook.com/carolosada,https://twitter.com/carolinalosada,https://www.instagram.com/carolosada,https://www.youtube.com/@carolinalosadasenadora?si=biSelDnRlatwDG_o
UNIÓN CÍVICA RADICAL,LOUSTEAU,MARTÍN,CIUDAD AUTÓNOMA DE BUENOS AIRES,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09,2019-12-10,Sin Datos,martin.lousteau@senado.gob.ar,3236 / 3255,https://www.facebook.com/gugalusto,https://twitter.com/gugalusto,https://www.instagram.com/gugalusto,https://youtube.com/martinlousteau
UNIDAD CIUDADANA,LÓPEZ,CÁNDIDA CRISTINA,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR",ALIANZA FRENTE DE TODOS,2023-12-07,2025-12-09,2023-12-07,Sin Datos,cristina.lopez@senado.gob.ar,3578 / 3571,,,,
FRENTE NACIONAL Y POPULAR,LÓPEZ,MARÍA FLORENCIA,LA RIOJA,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,florencia.lopez@senado.gob.ar,1330/1331/3529 / 3530,,,,
FRENTE NACIONAL Y POPULAR,MANZUR,JUAN LUIS,TUCUMÁN,ALIANZA FRENTE DE TODOS,2023-12-09,2027-12-09,2023-12-09,Sin Datos,juan.manzur@senado.gob.ar,1354/1380,https://www.facebook.com/JuanManzurOficial/,https://twitter.com/JuanManzurOK,https://www.instagram.com/juanluismanzur/,https://www.youtube.com/@JuanManzurOK
FRENTE NACIONAL Y POPULAR,MAYANS,JOSÉ MIGUEL ÁNGEL,FORMOSA,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,mayans@senado.gob.ar,1023 / 1036 / 1039,,,,
FRENTE NACIONAL Y POPULAR,MENDOZA,SANDRA MARIELA,TUCUMÁN,FRENTE DE TODOS,2021-12-10,2027-12-09,2021-12-10,Sin Datos,sandra.mendoza@senado.gob.ar,1477/ 79 / 74,,,,
UNIDAD CIUDADANA,MOISES,MARÍA CAROLINA,JUJUY,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,maria.moises@senado.gob.ar,3194,,,,
FRENTE NACIONAL Y POPULAR,MONTENEGRO,GERARDO ANTENOR,SANTIAGO DEL ESTERO,FRENTE DE TODOS,2019-12-10,2025-12-09,2019-12-10,Sin Datos,gerardo.montenegro@senado.gob.ar,3512 / 3521 / 3796 / 3797,,,,
FRENTE NACIONAL Y POPULAR,NEDER,JOSÉ EMILIO,SANTIAGO DEL ESTERO,FRENTE CÍVICO POR SANTIAGO,2019-12-10,2025-12-09,2019-12-10,Sin Datos,jose.neder@senado.gob.ar,1090 /1092 / 1093,,,,
UNIÓN CÍVICA RADICAL,OLALLA,STELLA MARIS,ENTRE RÍOS,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09,2019-12-10,Sin Datos,stella.olalla@senado.gob.ar,1330,https://www.facebook.com/senadorastellaolalla,https://twitter.com/Senadora_Olalla,https://www.instagram.com/senadorastellaolalla/,
LA LIBERTAD AVANZA,OLIVERA LUCERO,BRUNO ANTONIO,SAN JUAN,ALIANZA LA LIBERTAD AVANZA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,bruno.olivera@senado.gob.ar,3436,,,,
LA LIBERTAD AVANZA,PAGOTTO,JUAN CARLOS,LA RIOJA,ALIANZA LA LIBERTAD AVANZA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,juan.pagotto@senado.gob.ar,1008,,,,
"LIBERTAD, TRABAJO Y PROGRESO",PAOLTRONI,FRANCISCO MANUEL,FORMOSA,ALIANZA LA LIBERTAD AVANZA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,francisco.paoltroni@senado.gob.ar,3872,,,,
UNIDAD CIUDADANA,PARRILLI,OSCAR ISIDRO,NEUQUÉN,FRENTE DE TODOS,2019-12-10,2025-12-09,2019-12-10,Sin Datos,oscar.parrilli@senado.gob.ar,1315 / 1317 / 5817,https://www.facebook.com/oscarparrillineuquen/,https://twitter.com/Oscar_Parrilli,https://www.instagram.com//oscar_parrilli,https://www.youtube.com/https://channel/UCd9tKeWjLYbQsxRv7hR1bng
FRENTE NACIONAL Y POPULAR,PILATTI VERGARA,MARÍA INÉS,CHACO,FRENTE DE TODOS,2019-12-10,2025-12-09,2019-12-10,Sin Datos,pilatti@senado.gob.ar,1201 / 1203,,https://twitter.com/pilattivergara,,
FRENTE NACIONAL Y POPULAR,RECALDE,MARIANO,CIUDAD AUTÓNOMA DE BUENOS AIRES,FRENTE DE TODOS,2019-12-10,2025-12-09,2019-12-10,Sin Datos,mariano.recalde@senado.gob.ar,3429,,,,
FRENTE NACIONAL Y POPULAR,REJAL,JESÚS FERNANDO,LA RIOJA,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,jesus.rejal@senado.gob.ar,1011 / 1013,https://www.facebook.com/frejal?locale=es_LA,https://twitter.com/jfrejal,https://www.instagram.com/fernandorejal/,
FRENTE NACIONAL Y POPULAR,RODAS,ANTONIO JOSÉ,CHACO,FRENTE DE TODOS,2019-12-10,2025-12-09,2019-12-10,Sin Datos,antonio.rodas@senado.gob.ar,1355 / 1357,,,,
FRENTE RENOVADOR DE LA CONCORDIA SOCIAL,ROJAS DECUT,SONIA ELIZABETH,MISIONES,FRENTE RENOVADOR DE LA CONCORDIA-INNOVACIÓN FEDERAL,2023-12-10,2029-12-09,2023-12-10,Sin Datos,sonia.rojas@senado.gob.ar,3456 / 3457,https://www.facebook.com/100087662746565,https://x.com/decutrojas,https://www.instagram.com/soniarojasdecut,
CAMBIO FEDERAL,ROMERO,JUAN CARLOS,SALTA,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09,2019-12-10,Sin Datos,juan.romero@senado.gob.ar,1218 / 1219,https://www.facebook.com/romeroxsalta,https://twitter.com/romeroxsalta,https://www.instagram.com/romeroxsalta,
UNIDAD CIUDADANA,SALINO,FERNANDO ALDO,SAN LUIS,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,fernando.salino@senado.gob.ar,1524,https://www.facebook.com/fersalino,https://twitter.com/Fernando_Salino,https://www.instagram.com/fernando_salino1,
UNIDAD CIUDADANA,SAPAG,SILVIA ESTELA ,NEUQUÉN,FRENTE DE TODOS,2019-12-10,2025-12-09,2019-12-10,Sin Datos,silvia.sapag@senado.gob.ar,3556 / 3557,,https://twitter.com/sapag_silvia,https://www.instagram.com/silviasapag,
JUNTOS SOMOS RÍO NEGRO,SILVA,MÓNICA ESTHER,RÍO NEGRO,JUNTOS SOMOS RÍO NEGRO,2023-12-07,2025-12-09,2023-12-07,Sin Datos,monica.silva@senado.gob.ar,1491 / 1493,,,,
UNIÓN CÍVICA RADICAL,SUÁREZ,RODOLFO ALEJANDRO,MENDOZA,FRENTE CAMBIA MENDOZA,2023-12-09,2027-12-09,2023-12-09,Sin Datos,rodolfo.suarez@senado.gob.ar,1460,https://www.facebook.com/RodolfoSuarezMendoza,https://twitter.com/rodysuarez,https://www.instagram.com/rody.suarez,
FRENTE PRO,TAGLIAFERRI,GUADALUPE,CIUDAD AUTÓNOMA DE BUENOS AIRES,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09,2019-12-10,Sin Datos,guadalupe.tagliaferri@senado.gob.ar,3456,https://www.facebook.com/lupetagliaferri,https://twitter.com/lupetagliaferri,https://www.instagram.com/lupetagliaferri,
DESPIERTA CHUBUT,TERENZI,EDITH ELIZABETH,CHUBUT,JUNTOS POR EL CAMBIO CHUBUT,2021-12-10,2027-12-09,2021-12-10,Sin Datos,edith.terenzi@senado.gob.ar,3538,,,,
FRENTE NACIONAL Y POPULAR,UÑAC,SERGIO MAURICIO,SAN JUAN,ALIANZA UNIÓN POR LA PATRIA,2023-12-10,2029-12-09,2023-12-10,Sin Datos,sergio.unac@senado.gob.ar,1433 / 1445 / 8792,https://www.facebook.com/sergio.unac,https://twitter.com/sergiounac/,https://www.instagram.com/sergiounac,
UNIÓN CÍVICA RADICAL,VALENZUELA,MERCEDES GABRIELA,CORRIENTES,ECO + VAMOS CORRIENTES,2021-12-10,2027-12-09,2021-12-10,Sin Datos,mercedes.valenzuela@senado.gob.ar,3400 / 02,https://www.facebook.com/gabivalenzuela.ok,https://twitter.com/GabiValenzuel,https://www.instagram.com/gabivalenzuela.ok,https://www.youtube.com/channel/UCvgbsNlq69OYs9jtNwwpH3g
UNIDAD FEDERAL,VIGO,ALEJANDRA MARÍA,CÓRDOBA,HACEMOS POR CÓRDOBA,2021-12-10,2027-12-09,2021-12-10,Sin Datos,alejandra.vigo@senado.gob.ar,1441 / 1444 / 1456,https://www.facebook.com/VigoAlejandra,https://twitter.com/@alevigo,https://www.instagram.com/@vigo_alejandra,
UNIÓN CÍVICA RADICAL,VISCHI,EDUARDO ALEJANDRO,CORRIENTES,ECO + VAMOS CORRIENTES,2021-12-10,2027-12-09,2021-12-10,Sin Datos,eduardo.vischi@senado.gob.ar,3185 / 3188 / 3189,https://www.facebook.com/PetecoVischi/,https://twitter.com/PeteCoVischi,https://www.instagram.com/petecovischi/,
UNIÓN CÍVICA RADICAL,ZIMMERMANN,VICTOR,CHACO,JUNTOS POR EL CAMBIO,2019-12-10,2025-12-09,2019-12-10,Sin Datos,victor.zimmermann@senado.gob.ar,3522 / 3553,https://www.facebook.com/VictorZimmermannOK,https://twitter.com/VZimmermannOK,https://instagram.com/Victor_zimmermann,
