party,name,region,contact
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Ανδρουλάκης Μαρίνου Νικόλαος,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"proedros@pasok.gr
pasokproedros.thess@gmail.com"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Αντωνίου Βασιλείου Μαρία,ΚΑΣΤΟΡΙΑΣ,"maria.antoniou@parliament.gr
mar.antoniu@hotmail.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Αποστολάκη Γεωργίου Ελένη - Μαρία (Μιλένα),Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"m.apostolaki@parliament.gr
http://www.apostolakimilena.gr"
ΑΝΕΞΑΡΤΗΤΟΙ,Αποστολάκης Ευαγγέλου Ευάγγελος,ΕΠΙΚΡΑΤΕΙΑΣ,"eapostolakis.mp@gmail.com
e.apostolakis@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Αραμπατζή Αθανασίου Φωτεινή,ΣΕΡΡΩΝ,"foteini@arampatzi.gr
f.arampatzi@parliament.gr
http://www.arampatzi.gr"
ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Ασημακοπούλου Δημητρίου Σοφία - Χάιδω,Β' ΠΕΙΡΑΙΩΣ,s.asimakopoulou@parliament.gr
ΑΝΕΞΑΡΤΗΤΟΙ,Ασπιώτης Πελοπίδος Γεώργιος,ΑΧΑΪΑΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Αυγενάκης Κωνσταντίνου Ελευθέριος,ΗΡΑΚΛΕΙΟΥ,"info@avgenakis.gr
http://www.avgenakis.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Αυγερινοπούλου Ζήσιμου Διονυσία,ΗΛΕΙΑΣ,"d.avgerinopoulou@parliament.gr
https://www.avgerinopoulou.gr"
ΑΝΕΞΑΡΤΗΤΟΙ,Αυλωνίτης Νικολάου Αλέξανδρος-Χρήστος,ΚΕΡΚΥΡΑΣ,"a.avlonitis@parliament.gr
alavlonitis19@gmail.com"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Αχμέτ Σαμπρή Ιλχάν,ΡΟΔΟΠΗΣ,"ilhanbelgin@hotmail.com

av.ilhanahmet@gmail.com

i.achmet@parliament.gr
http://www.ilhanahmet.gr"
ΝΕΑ ΑΡΙΣΤΕΡΑ,Αχτσιόγλου Θεμιστοκλή Ευτυχία (Έφη),Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,e.achtsioglou@parliament.gr
ΑΝΕΞΑΡΤΗΤΟΙ,Βαλτογιάννης Σωτηρίου Διονύσιος,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Βαρτζόπουλος Χρυσόστομου Δημήτριος,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,"info@vartzopoulos.gr
yfypourgos.vd@moh.gov.gr
http://vartzopoulos.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Βασιλειάδης Νικολάου Βασίλειος (Λάκης),ΠΕΛΛΗΣ,"vasileiadislaw@gmail.com
v.vasileiadis@parliament.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Βατσινά Φανουρίου Ελένη,ΗΡΑΚΛΕΙΟΥ,
ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Βελόπουλος Ιωσήφ Κυριάκος,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"k.velopoulos@parliament.gr
http://www.velopoulos.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Βεσυρόπουλος Φωτίου Απόστολος,ΗΜΑΘΙΑΣ,"vesiropoulos@gmail.com
http://www.vesiropoulos.gr"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Βέττα Δημητρίου Καλλιόπη,ΚΟΖΑΝΗΣ,k.vetta@parliament.gr
ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Βιλιάρδος Διονυσίου Βασίλειος,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,viliardos@analyst.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Βλάσης Γεωργίου Κωνσταντίνος,ΑΡΚΑΔΙΑΣ,"k.vlasis@parliament.gr
www.kostasvlasis.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Βλαχάκος Αντωνίου Νικόλαος,Α' ΠΕΙΡΑΙΩΣ,"nicolaosvlachakos@gmail.com
n.vlachakos@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Βλάχος Θεοδώρου Γεώργιος,Α΄ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,"attiki@gvlahos.gr
http://www.gvlahos.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Βολουδάκη Αναστασίου Σεβαστή (Σέβη),ΧΑΝΙΩΝ,office@voloudakis.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Βορίδης Χρήστου Μαυρουδής (Μάκης),Α΄ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,"voridis@parliament.gr
http://www.makisvoridis.gr"
"ΔΗΜΟΚΡΑΤΙΚΟ ΠΑΤΡΙΩΤΙΚΟ ΚΙΝΗΜΑ ""ΝΙΚΗ""",Βορύλλας Δημητρίου Ανδρέας,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"a.voryllas@parliament.gr
nikh@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Βούλτεψη Ιωάννη Σοφία,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,s.voultepsi@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Βρεττάκος Δρακούλη Γεώργιος,Β' ΠΕΙΡΑΙΩΣ,"g.vrettakos@parliament.gr
grafeio@gvrettakos.gr
https://gvrettakos.gr/"
"ΔΗΜΟΚΡΑΤΙΚΟ ΠΑΤΡΙΩΤΙΚΟ ΚΙΝΗΜΑ ""ΝΙΚΗ""",Βρεττός Δημητρίου Νικόλαος,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"n.vrettos@parliament.gr
nikh@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Βρούτσης Βασιλείου Ιωάννης,ΚΥΚΛΑΔΩΝ,"vroutsis@ivroutsis.gr
http://www.ivroutsis.gr"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Γαβρήλος Νικολάου Γεώργιος,ΑΡΓΟΛΙΔΟΣ,"g.gavrilos@parliament.gr
georgegavrilos.vouli@gmail.com"
ΑΝΕΞΑΡΤΗΤΟΙ,Γαυγιωτάκης Ευαγγέλου Μιχαήλ,ΗΡΑΚΛΕΙΟΥ,"m.gavgiotakis@parliament.gr
michail.gavgiotakis@gmail.com
www.toparon.gr"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Γεροβασίλη Βασιλείου Όλγα,ΑΡΤΑΣ,"olgagerovasili@gmail.com
o.gerovasili@parliament.gr
http://gerovasili.wordpress.com"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Γερουλάνος Μαρίνου Παύλος,Α' ΑΘΗΝΩΝ,http://www.yeroulanos.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Γεωργαντάς Παύλου Γεώργιος,ΚΙΛΚΙΣ,"g.georgantas@parliament.gr
vice.president_b@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Γεωργιάδης Αθανασίου Σπυρίδων - Άδωνις,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"g-adonis@otenet.gr
a.georgiadis@parliament.gr"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Γιαννακοπούλου Ιωάννη Κωνσταντίνα (Νάντια),Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"kgiannakopoulou@gmail.com
http://www.nadiagiannakopoulou.gr"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Γιαννούλης Ιωάννη Χρήστος,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,ch.giannoulis@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Γιόγιακας Νικολάου Βασίλειος,ΘΕΣΠΡΩΤΙΑΣ,"v.giogiakas@parliament.gr
http://www.vasileiosgiogiakas.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Γιώργος Αγγελή Ιωάννης,ΧΑΛΚΙΔΙΚΗΣ,i.giorgos@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Γκίκας Σωτηρίου Στέφανος,ΚΕΡΚΥΡΑΣ,"stefanosgikas@parliament.gr
stefgik1@gmail.com
www.stefanosgikas.gr"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Γκιόκας Χρήστου Ιωάννης,Α΄ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,kke@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Γκιουλέκας Πέτρου Κωνσταντίνος,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"info@gioulekas.gr
gioulekas@parliament.gr
http://www.gioulekas.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Γκολιδάκης Μιχαήλ Διαμαντής,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"infogkolidakis@gmail.com
d.gkolidakis@parliament.gr
www.dgkolidakis.gr"
ΕΛΛΗΝΙΚΗ ΛΥΣΗ - ΚΥΡΙΑΚΟΣ ΒΕΛΟΠΟΥΛΟΣ,Γραμμένος Αναστασίου Βασίλειος,Α' ΑΘΗΝΩΝ,v.grammenos@parliament.gr
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Γρηγοράκου Λεωνίδα Παναγιώτα (Νάγια),ΛΑΚΩΝΙΑΣ,"grigorakou.nagia@gmail.com
n.grigorakou@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Δαβάκης Παναγιώτη Αθανάσιος,ΛΑΚΩΝΙΑΣ,"a.davakis@parliament.gr
http://www.thanasisdavakis.gr/"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Δάγκα Αθανασίου Παρασκευή (Βιβή),Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,
"ΔΗΜΟΚΡΑΤΙΚΟ ΠΑΤΡΙΩΤΙΚΟ ΚΙΝΗΜΑ ""ΝΙΚΗ""",Δελβερούδης Βαγιάνου Κομνηνός,ΠΙΕΡΙΑΣ,"k.delveroudis@parliament.gr
nikh@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Δεληκάρη Γεωργίου Αγγελική,ΚΑΒΑΛΑΣ,a.delikari@parliament.gr
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Δελής Ιωάννη Ιωάννης,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,i.delis@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Δένδιας Σπυρίδωνα Νικόλαος - Γεώργιος,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"dendiaspg@gmail.com
http://www.nikosdendias.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Δερμεντζόπουλος Αλεξάνδρου Χρήστος,ΕΒΡΟΥ,"Ch.dermentzopoulos@parliament.gr
chrisdermen@hotmail.com"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Δήμας Σταύρου Χρίστος,ΚΟΡΙΝΘΙΑΣ,"christos@dimas.gr
http://www.dimas.gr"
ΣΠΑΡΤΙΑΤΕΣ,Δημητριάδης Βασιλείου Πέτρος,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,
ΑΝΕΞΑΡΤΗΤΟΙ,Δημητροκάλλης Αντωνίου Ιωάννης,Α΄ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Δημοσχάκης Σπύρου Αναστάσιος (Τάσος),ΕΒΡΟΥ,"adimoschakis@outlook.com
a.dimoschakis@parliament.gr
http://www.dimoschakis.gr"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Διγενή Αναστασίου Ασημίνα (Σεμίνα),Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Δουδωνής Αριστείδη Παναγιώτης,ΕΠΙΚΡΑΤΕΙΑΣ,
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Δούρου Αθανασίου Ειρήνη (Ρένα),Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"dourourena@gmail.com
r.dourou@parliament.gr"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Έξαρχος Θεοφάνη Νικόλαος(Πάκος),ΙΩΑΝΝΙΝΩΝ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Ευθυμίου Ταξιάρχη Άννα,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"info@annaefthymiou.gr
a.efthymiou@parliament.gr
https://www.annaefthymiou.gr/"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Ζαμπάρας Γεωργίου Μιλτιάδης (Μίλτος),ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,"mzamparas@parliament.gr
mzamparas23@gmail.com
www.miltoszamparas.com"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Ζαχαράκη Ηλία Σοφία,Α΄ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,"s.zaharaki@parliament.gr
info@sofiazacharaki.gr
www.sofiazacharaki.gr"
ΝΕΑ ΑΡΙΣΤΕΡΑ,Ζεϊμπέκ Χασάν Χουσεΐν,ΞΑΝΘΗΣ,zeybek@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Ζεμπίλης Γεωργίου Αθανάσιος,ΕΥΒΟΙΑΣ,"a.zempilis@parliament.gr
zempilisth@gmail.com"
ΣΠΑΡΤΙΑΤΕΣ,Ζερβέας Θεοδώρου Αλέξανδρος,Β' ΠΕΙΡΑΙΩΣ,
ΝΕΑ ΑΡΙΣΤΕΡΑ,Ηλιόπουλος Κωνσταντίνου Αθανάσιος (Νάσος),Α' ΑΘΗΝΩΝ,n.iliopoulos@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Θεοδωρικάκος Δημητρίου Παναγιώτης (Τάκης),Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"theodorikakosoffice@gmail.com
p.theodorikakos@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Θεοχάρης Αθανασίου Θεοχάρης (Χάρης),Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"t.theocharis@parliament.gr
http://www.htheoharis.gr"
ΑΝΕΞΑΡΤΗΤΟΙ,Θρασκιά Κωνσταντίνου Ουρανία (Ράνια),Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"r.thraskia@parliament.gr
www.raniathraskia.com"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Ιατρίδη Ιωάννη Τσαμπίκα (Μίκα),ΔΩΔΕΚΑΝΗΣΟΥ,"m.iatridi@parliament.gr
iatridi@yahoo.gr
http://www.iatridi.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καββαδάς Ιωάννη Αθανάσιος,ΛΕΥΚΑΔΑΣ,"a.kavvadas@parliament.gr
http://www.athanasioskavvadas.gr"
ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,Καζαμίας Στεφάνου Αλέξανδρος,ΕΠΙΚΡΑΤΕΙΑΣ,
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Καζάνη Νικολάου Αικατερίνη,ΕΥΒΟΙΑΣ,"k.kazani@parliament.gr
katerina.kazani2023@gmail.com"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καιρίδης Κωνσταντίνου Δημήτριος,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"d.kairidis@parliament.gr
https://www.dimitriskairidis.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κακλαμάνης Μιχαήλ Νικήτας,Α' ΑΘΗΝΩΝ,"press@nkaklamanis.gr
http://www.nkaklamanis.gr"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Καλαματιανός Χρήστου Διονύσιος-Χαράλαμπος,ΗΛΕΙΑΣ,d.kalamatianos@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καλαφάτης Αθανασίου Σταύρος,Α' ΘΕΣΣΑΛΟΝΙΚΗΣ,"info@stavroskalafatis.gr
http://www.stavroskalafatis.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καλλιάνος Δημητρίου Ιωάννης,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"kallianos.grafeio@gmail.com
i.kallianos@parliament.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καλογερόπουλος Ιωάννη Δημήτριος,Β2' ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,"dkalogeropoulospg@gmail.com
d.kalogeropoulos@parliament.gr"
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Κανέλλη Χρήστου Γαρυφαλλιά (Λιάνα),Α' ΑΘΗΝΩΝ,kke@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καπετάνος Δημητρίου Χρήστος,ΛΑΡΙΣΑΣ,"c_kapetanos@yahoo.gr
chr.kapetanos@parliament.gr
http://www.christos-kapetanos.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καππάτος Σπυρίδωνος - Διονυσίου Παναγής,ΚΕΦΑΛΛΗΝΙΑΣ,"pkappato@otenet.gr
p.kappatos@parliament.gr"
ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,Καραγεωργοπούλου Γεωργίου Ελένη,Α΄ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καραγκούνης Ανδρέα Κωνσταντίνος,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,kkaragounis@gmail.com
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Καραθανασόπουλος Πέτρου Νικόλαος,ΑΧΑΪΑΣ,kke@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καραμανλή Αρκαδίου Άννα,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,karamanlia@yahoo.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καραμανλής Αχιλλέα Κωνσταντίνος,ΣΕΡΡΩΝ,"info@kostaskaramanlis.gr
http://www.kostaskaramanlis.gr"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Καραμέρος Παναγιώτη Γεώργιος,Α΄ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,"g.karameros@parliament.gr
karameros114@gmail.com
https://karameros.gr/"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καραμπατσώλη Θεοδώρου Κωνσταντίνα,ΕΥΒΟΙΑΣ,"k.karampatsoli@parliament.gr
info@kkarabatsolilaw.gr"
ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,Καραναστάσης Ιωάννη Αδαμάντιος,Α' ΑΘΗΝΩΝ,
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καράογλου Γεωργίου Θεόδωρος,Β' ΘΕΣΣΑΛΟΝΙΚΗΣ,"info@karaoglou.gr

th.karaoglou@parliament.gr
http://www.karaoglou.gr


Facebook:
www.facebook.com/Th.Karaoglou"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καρασμάνης Αθανασίου Γεώργιος,ΠΕΛΛΗΣ,karasmanis@parliament.gr
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Κασιμάτη Γεωργίου Ειρήνη (Νίνα),Β' ΠΕΙΡΑΙΩΣ,"kasimati@parliament.gr
kasimati.office@gmail.com"
ΠΑΣΟΚ-ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ,Κατρίνης Ιωάννη Μιχαήλ,ΗΛΕΙΑΣ,"ilia@katrinis.gr
katrinis@parliament.gr
http://www.katrinis.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κατσανιώτης Ιωάννη Ανδρέας,ΑΧΑΪΑΣ,"katsaniotis.info@gmail.com
http://www.andreaskatsaniotis.gr"
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Κατσαφάδος Ιωάννη Κωνσταντίνος,Α' ΠΕΙΡΑΙΩΣ,katsafados@gmail.com
ΑΝΕΞΑΡΤΗΤΟΙ,Κατσιβαρδάς Βασιλείου Χαράλαμπος,Β1' ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,
ΚΟΜΜΟΥΝΙΣΤΙΚΟ ΚΟΜΜΑ ΕΛΛΑΔΑΣ,Κατσώτης Περικλή Χρήστος,Β3΄ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,kke@parliament.gr
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,Καφούρος Εμμανουήλ Μάρκος,ΚΥΚΛΑΔΩΝ,"m.kafouros@parliament.gr
www.markoskafouros.gr"
ΣΥΝΑΣΠΙΣΜΟΣ ΡΙΖΟΣΠΑΣΤΙΚΗΣ ΑΡΙΣΤΕΡΑΣ - ΠΡΟΟΔΕΥΤΙΚΗ  ΣΥΜΜΑΧΙΑ ,Κεδίκογλου Άγγελου Συμεών,ΕΥΒΟΙΑΣ,"s.kedikoglou@parliament.gr
http://www.symeonkedikoglou.gr"
