ccodealp,year,egov_egov
SLB,2023,0.36811
BRN,2002,0.45876
BRN,2003,0.46323
BRN,2004,0.44753
BRN,2007,0.4667
BRN,2009,0.47955
BRN,2011,0.62502
BRN,2013,0.50424
BRN,2015,0.52981
BRN,2017,0.6923
BRN,2019,0.7389
BRN,2021,0.727
BRN,2023,0.75536
BGR,2002,0.54801
BGR,2003,0.54172
BGR,2004,0.56047
BGR,2007,0.5719
BGR,2009,0.55902
BGR,2011,0.61315
BGR,2013,0.54209
BGR,2015,0.63764
BGR,2017,0.7177
BGR,2019,0.798
BGR,2021,0.7766
BGR,2023,0.81453
MMR,2002,0.27996
MMR,2003,0.30305
MMR,2004,0.29593
MMR,2007,0.2922
MMR,2009,0.28177
MMR,2011,0.27033
MMR,2013,0.18694
MMR,2015,0.23619
MMR,2017,0.3328
MMR,2019,0.4316
MMR,2021,0.4994
MMR,2023,0.50007
BDI,2002,0.18075
BDI,2003,0.15666
BDI,2004,0.16425
BDI,2007,0.1788
BDI,2009,0.20138
BDI,2011,0.22882
BDI,2013,0.19278
BDI,2015,0.22771
BDI,2017,0.2985
BDI,2019,0.3227
BDI,2021,0.3204
BDI,2023,0.24805
BLR,2002,0.3965
BLR,2003,0.48884
BLR,2004,0.53184
BLR,2007,0.5213
BLR,2009,0.48996
BLR,2011,0.609
BLR,2013,0.60529
BLR,2015,0.66249
BLR,2017,0.7641
BLR,2019,0.8084
BLR,2021,0.758
BLR,2023,0.74449
KHM,2002,0.26369
KHM,2003,0.2859
KHM,2004,0.29891
KHM,2007,0.2989
KHM,2009,0.28784
KHM,2011,0.29021
KHM,2013,0.29986
KHM,2015,0.25927
KHM,2017,0.3753
KHM,2019,0.5113
KHM,2021,0.5056
KHM,2023,0.57536
CMR,2002,0.27003
CMR,2003,0.25606
CMR,2004,0.25
CMR,2007,0.2734
CMR,2009,0.27223
CMR,2011,0.30698
CMR,2013,0.27823
CMR,2015,0.27591
CMR,2017,0.3997
CMR,2019,0.4325
CMR,2021,0.4498
CMR,2023,0.42935
CAN,2002,0.80644
CAN,2003,0.83687
CAN,2004,0.84251
CAN,2007,0.8172
CAN,2009,0.84479
CAN,2011,0.84299
CAN,2013,0.84177
CAN,2015,0.82847
CAN,2017,0.8258
CAN,2019,0.842
CAN,2021,0.8511
CAN,2023,0.84516
CPV,2002,0.32225
CPV,2003,0.3442
CPV,2004,0.33464
CPV,2007,0.4158
CPV,2009,0.40537
CPV,2011,0.42974
CPV,2013,0.35505
CPV,2015,0.47418
CPV,2017,0.498
CPV,2019,0.5604
CPV,2021,0.566
CPV,2023,0.62378
CAF,2002,0.0
CAF,2003,0.0
CAF,2004,0.0
CAF,2007,0.1412
CAF,2009,0.13989
CAF,2011,0.0
CAF,2013,0.12574
CAF,2015,0.07888
CAF,2017,0.1584
CAF,2019,0.1404
CAF,2021,0.1407
CAF,2023,0.0947
LKA,2002,0.38529
LKA,2003,0.37484
LKA,2004,0.39504
LKA,2007,0.4244
LKA,2009,0.39949
LKA,2011,0.43566
LKA,2013,0.54176
LKA,2015,0.54454
LKA,2017,0.5751
LKA,2019,0.6708
LKA,2021,0.6285
LKA,2023,0.66668
TCD,2002,0.0
TCD,2003,0.13988
TCD,2004,0.14331
TCD,2007,0.1047
TCD,2009,0.12346
TCD,2011,0.10916
TCD,2013,0.10761
TCD,2015,0.12564
TCD,2017,0.1257
TCD,2019,0.1557
TCD,2021,0.189
TCD,2023,0.17853
CHL,2002,0.67111
CHL,2003,0.68352
CHL,2004,0.69626
CHL,2007,0.5819
CHL,2009,0.60137
CHL,2011,0.67687
CHL,2013,0.71216
CHL,2015,0.69492
CHL,2017,0.735
CHL,2019,0.8259
CHL,2021,0.8377
CHL,2023,0.88266
CHN,2002,0.41595
CHN,2003,0.43557
CHN,2004,0.50778
CHN,2007,0.5017
CHN,2009,0.46998
CHN,2011,0.5359
CHN,2013,0.54501
CHN,2015,0.60713
CHN,2017,0.6811
CHN,2019,0.7948
CHN,2021,0.8119
CHN,2023,0.87184
COL,2002,0.44339
COL,2003,0.53345
COL,2004,0.52211
COL,2007,0.5317
COL,2009,0.6125
COL,2011,0.65723
COL,2013,0.6173
COL,2015,0.62371
COL,2017,0.6871
COL,2019,0.7164
COL,2021,0.7261
COL,2023,0.7793
COM,2002,0.17583
COM,2003,0.1826
COM,2004,0.19736
COM,2007,0.1896
COM,2009,0.23268
COM,2011,0.23577
COM,2013,0.18077
COM,2015,0.21551
COM,2017,0.2336
COM,2019,0.2799
COM,2021,0.2778
COM,2023,0.25862
COG,2002,0.26522
COG,2003,0.29703
COG,2004,0.28548
COG,2007,0.2737
COG,2009,0.30194
COG,2011,0.28094
COG,2013,0.25696
COG,2015,0.24974
COG,2017,0.3024
COG,2019,0.3786
COG,2021,0.3675
COG,2023,0.33912
COD,2002,0.0
COD,2003,0.18853
COD,2004,0.0
COD,2007,0.2177
COD,2009,0.2357
COD,2011,0.22803
COD,2013,0.15514
COD,2015,0.18761
COD,2017,0.2612
COD,2019,0.258
COD,2021,0.3057
COD,2023,0.27149
CRI,2002,0.42674
CRI,2003,0.41883
CRI,2004,0.46115
CRI,2007,0.5144
CRI,2009,0.47486
CRI,2011,0.53971
CRI,2013,0.60614
CRI,2015,0.63142
CRI,2017,0.7004
CRI,2019,0.7576
CRI,2021,0.7659
CRI,2023,0.80089
HRV,2002,0.53142
HRV,2003,0.52266
HRV,2004,0.54802
HRV,2007,0.565
HRV,2009,0.5858
HRV,2011,0.73284
HRV,2013,0.62817
HRV,2015,0.71624
HRV,2017,0.7018
HRV,2019,0.7745
HRV,2021,0.8106
HRV,2023,0.88175
CUB,2002,0.37247
CUB,2003,0.34779
CUB,2004,0.36995
CUB,2007,0.399
CUB,2009,0.43214
CUB,2011,0.44882
CUB,2013,0.39165
CUB,2015,0.35224
CUB,2017,0.4101
CUB,2019,0.4439
CUB,2021,0.4945
CUB,2023,0.49214
CYP,2002,0.47406
CYP,2003,0.51886
CYP,2004,0.58722
CYP,2007,0.6019
CYP,2009,0.57053
CYP,2011,0.65081
CYP,2013,0.59576
CYP,2015,0.60226
CYP,2017,0.7736
CYP,2019,0.8731
CYP,2021,0.866
CYP,2023,0.86187
CZE,2002,0.54168
CZE,2003,0.6214
CZE,2004,0.63955
CZE,2007,0.6696
CZE,2009,0.60602
CZE,2011,0.64914
CZE,2013,0.60695
CZE,2015,0.64537
CZE,2017,0.7084
CZE,2019,0.8135
CZE,2021,0.8088
CZE,2023,0.82394
BEN,2002,0.2348
BEN,2003,0.22035
BEN,2004,0.23088
BEN,2007,0.186
BEN,2009,0.20171
BEN,2011,0.20638
BEN,2013,0.1685
BEN,2015,0.20389
BEN,2017,0.3264
BEN,2019,0.4039
BEN,2021,0.4264
BEN,2023,0.45779
DNK,2002,0.82046
DNK,2003,0.90466
DNK,2004,0.90576
DNK,2007,0.9134
DNK,2009,0.78722
DNK,2011,0.88885
DNK,2013,0.8162
DNK,2015,0.85102
DNK,2017,0.915
DNK,2019,0.9758
DNK,2021,0.9717
DNK,2023,0.98474
DMA,2002,0.0
DMA,2003,0.36813
DMA,2004,0.33336
DMA,2007,0.3746
DMA,2009,0.41491
DMA,2011,0.55609
DMA,2013,0.4338
DMA,2015,0.45775
DMA,2017,0.5794
DMA,2019,0.6013
DMA,2021,0.5789
DMA,2023,0.54452
DOM,2002,0.43754
DOM,2003,0.41107
DOM,2004,0.40758
DOM,2007,0.4943
DOM,2009,0.45573
DOM,2011,0.51298
DOM,2013,0.44808
DOM,2015,0.49136
DOM,2017,0.5726
DOM,2019,0.6782
DOM,2021,0.6429
DOM,2023,0.70127
ECU,2002,0.37779
ECU,2003,0.39237
ECU,2004,0.39663
ECU,2007,0.484
ECU,2009,0.43219
ECU,2011,0.48685
ECU,2013,0.50529
ECU,2015,0.56254
ECU,2017,0.6129
ECU,2019,0.7015
ECU,2021,0.6889
ECU,2023,0.77997
SLV,2002,0.40934
SLV,2003,0.40344
SLV,2004,0.42251
SLV,2007,0.4974
SLV,2009,0.46995
SLV,2011,0.55127
SLV,2013,0.49885
SLV,2015,0.47184
SLV,2017,0.5469
SLV,2019,0.5697
SLV,2021,0.5519
SLV,2023,0.5988
GNQ,2002,0.0
GNQ,2003,0.0
GNQ,2004,0.0
GNQ,2007,0.289
GNQ,2009,0.29024
GNQ,2011,0.29548
GNQ,2013,0.22675
GNQ,2015,0.24027
GNQ,2017,0.2298
GNQ,2019,0.2507
GNQ,2021,0.2746
GNQ,2023,0.28554
ETH,2002,0.12773
ETH,2003,0.13647
ETH,2004,0.13602
ETH,2007,0.1857
ETH,2009,0.20331
ETH,2011,0.23058
ETH,2013,0.25888
ETH,2015,0.26655
ETH,2017,0.3463
ETH,2019,0.274
ETH,2021,0.2865
ETH,2023,0.31109
ERI,2002,0.0
ERI,2003,0.0
ERI,2004,0.18485
ERI,2007,0.1965
ERI,2009,0.18587
ERI,2011,0.20434
ERI,2013,0.09075
ERI,2015,0.09016
ERI,2017,0.1337
ERI,2019,0.1292
ERI,2021,0.1709
ERI,2023,0.15762
EST,2002,0.6968
EST,2003,0.70289
EST,2004,0.73473
EST,2007,0.76
EST,2009,0.69653
EST,2011,0.79873
EST,2013,0.81796
EST,2015,0.83344
EST,2017,0.8486
EST,2019,0.9473
EST,2021,0.9393
EST,2023,0.97274
FJI,2002,0.42507
FJI,2003,0.39122
FJI,2004,0.40813
FJI,2007,0.4156
FJI,2009,0.39253
FJI,2011,0.46715
FJI,2013,0.50437
FJI,2015,0.49886
FJI,2017,0.5348
FJI,2019,0.6585
FJI,2021,0.6235
FJI,2023,0.67544
FIN,2002,0.76112
FIN,2003,0.82389
FIN,2004,0.82311
FIN,2007,0.7488
FIN,2009,0.6967
FIN,2011,0.85052
FIN,2013,0.84491
FIN,2015,0.88168
FIN,2017,0.8815
FIN,2019,0.9452
FIN,2021,0.9533
FIN,2023,0.95746
FRA,2002,0.68961
FRA,2003,0.66866
FRA,2004,0.69251
FRA,2007,0.8038
FRA,2009,0.75103
FRA,2011,0.86349
FRA,2013,0.89384
FRA,2015,0.84559
FRA,2017,0.879
FRA,2019,0.8718
FRA,2021,0.8832
FRA,2023,0.87442
DJI,2002,0.17893
DJI,2003,0.19666
DJI,2004,0.23806
DJI,2007,0.2279
DJI,2009,0.20586
DJI,2011,0.22283
DJI,2013,0.1456
DJI,2015,0.13367
DJI,2017,0.2401
DJI,2019,0.2728
DJI,2021,0.2833
DJI,2023,0.29105
GAB,2002,0.28331
GAB,2003,0.30019
GAB,2004,0.29284
GAB,2007,0.3228
GAB,2009,0.34203
GAB,2011,0.36874
GAB,2013,0.3294
GAB,2015,0.35836
GAB,2017,0.4313
GAB,2019,0.5401
GAB,2021,0.5521
GAB,2023,0.57408
GEO,2002,0.35109
GEO,2003,0.37836
GEO,2004,0.40337
GEO,2007,0.4598
GEO,2009,0.42476
GEO,2011,0.55628
GEO,2013,0.60468
GEO,2015,0.61079
GEO,2017,0.6893
GEO,2019,0.7174
GEO,2021,0.7501
GEO,2023,0.77923
GMB,2002,0.17207
GMB,2003,0.17097
GMB,2004,0.17364
GMB,2007,0.2253
GMB,2009,0.21169
GMB,2011,0.26884
GMB,2013,0.22851
GMB,2015,0.23963
GMB,2017,0.2958
GMB,2019,0.263
GMB,2021,0.3088
GMB,2023,0.25517
DEU,2002,0.76164
DEU,2003,0.78733
DEU,2004,0.80497
DEU,2007,0.7136
DEU,2009,0.73085
DEU,2011,0.80788
DEU,2013,0.7864
DEU,2015,0.82099
DEU,2017,0.8765
DEU,2019,0.8524
DEU,2021,0.877
DEU,2023,0.93821
GHA,2002,0.24065
GHA,2003,0.23693
GHA,2004,0.28662
GHA,2007,0.2997
GHA,2009,0.27537
GHA,2011,0.3159
GHA,2013,0.37354
GHA,2015,0.41815
GHA,2017,0.539
GHA,2019,0.596
GHA,2021,0.5824
GHA,2023,0.63169
KIR,2002,0.0
KIR,2003,0.0
KIR,2004,0.0
KIR,2007,0.0
KIR,2009,0.0
KIR,2011,0.29977
KIR,2013,0.3201
KIR,2015,0.31219
KIR,2017,0.345
KIR,2019,0.432
KIR,2021,0.4334
KIR,2023,0.45723
GRC,2002,0.53989
GRC,2003,0.55806
GRC,2004,0.5921
GRC,2007,0.5718
GRC,2009,0.57075
GRC,2011,0.68716
GRC,2013,0.71176
GRC,2015,0.691
GRC,2017,0.7833
GRC,2019,0.8021
GRC,2021,0.8455
GRC,2023,0.86737
GRD,2002,0.34805
GRD,2003,0.35881
GRD,2004,0.38794
GRD,2007,0.4545
GRD,2009,0.42768
GRD,2011,0.54794
GRD,2013,0.52197
GRD,2015,0.5168
GRD,2017,0.593
GRD,2019,0.5812
GRD,2021,0.7277
GRD,2023,0.64577
GTM,2002,0.32901
GTM,2003,0.33908
GTM,2004,0.37766
GTM,2007,0.4283
GTM,2009,0.39368
GTM,2011,0.43903
GTM,2013,0.31603
GTM,2015,0.47898
GTM,2017,0.4974
GTM,2019,0.5155
GTM,2021,0.5111
GTM,2023,0.57383
GIN,2002,0.13208
GIN,2003,0.14225
GIN,2004,0.13956
GIN,2007,0.1402
GIN,2009,0.14261
GIN,2011,0.0
GIN,2013,0.09543
GIN,2015,0.1226
GIN,2017,0.2348
GIN,2019,0.2592
GIN,2021,0.3608
GIN,2023,0.40059
GUY,2002,0.42195
GUY,2003,0.42426
GUY,2004,0.3985
GUY,2007,0.4375
GUY,2009,0.41398
GUY,2011,0.45489
GUY,2013,0.36952
GUY,2015,0.36509
GUY,2017,0.4316
GUY,2019,0.4909
GUY,2021,0.5233
GUY,2023,0.54432
HTI,2002,0.0
HTI,2003,0.0
HTI,2004,0.0
HTI,2007,0.2097
HTI,2009,0.20741
HTI,2011,0.15115
HTI,2013,0.18086
HTI,2015,0.19314
HTI,2017,0.3047
HTI,2019,0.2723
HTI,2021,0.2481
HTI,2023,0.21165
HND,2002,0.28049
HND,2003,0.33007
HND,2004,0.33475
HND,2007,0.4048
HND,2009,0.40646
HND,2011,0.43413
HND,2013,0.40826
HND,2015,0.3611
HND,2017,0.4474
HND,2019,0.4486
HND,2021,0.394
HND,2023,0.48559
HUN,2002,0.51625
HUN,2003,0.58572
HUN,2004,0.65358
HUN,2007,0.6494
HUN,2009,0.63147
HUN,2011,0.72014
HUN,2013,0.66374
HUN,2015,0.67455
HUN,2017,0.7265
HUN,2019,0.7745
HUN,2021,0.7827
HUN,2023,0.8043
ISL,2002,0.7019
ISL,2003,0.76988
ISL,2004,0.77936
ISL,2007,0.7176
ISL,2009,0.66971
ISL,2011,0.78354
ISL,2013,0.797
ISL,2015,0.76619
ISL,2017,0.8316
ISL,2019,0.9101
ISL,2021,0.941
ISL,2023,0.96707
IND,2002,0.37309
IND,2003,0.38789
IND,2004,0.40013
IND,2007,0.3814
IND,2009,0.35673
IND,2011,0.38287
IND,2013,0.38343
IND,2015,0.46375
IND,2017,0.5669
IND,2019,0.5964
IND,2021,0.5883
IND,2023,0.66776
IDN,2002,0.42243
IDN,2003,0.3909
IDN,2004,0.38186
IDN,2007,0.4107
IDN,2009,0.40264
IDN,2011,0.49486
IDN,2013,0.44874
IDN,2015,0.44784
IDN,2017,0.5258
IDN,2019,0.6612
IDN,2021,0.716
IDN,2023,0.79911
IRN,2002,0.32962
IRN,2003,0.32819
IRN,2004,0.38133
IRN,2007,0.4067
IRN,2009,0.42343
IRN,2011,0.48762
IRN,2013,0.45075
IRN,2015,0.46494
IRN,2017,0.6083
IRN,2019,0.6593
IRN,2021,0.6433
IRN,2023,0.65639
IRQ,2002,0.0
IRQ,2003,0.35662
IRQ,2004,0.3334
IRQ,2007,0.269
IRQ,2009,0.29957
IRQ,2011,0.34093
IRQ,2013,0.31414
IRQ,2015,0.33335
IRQ,2017,0.3376
IRQ,2019,0.436
IRQ,2021,0.4383
IRQ,2023,0.45721
IRL,2002,0.69651
IRL,2003,0.70576
IRL,2004,0.72508
IRL,2007,0.7296
IRL,2009,0.68655
IRL,2011,0.71492
IRL,2013,0.781
IRL,2015,0.76888
IRL,2017,0.8287
IRL,2019,0.8433
IRL,2021,0.8567
IRL,2023,0.91377
ISR,2002,0.66333
ISR,2003,0.68054
ISR,2004,0.69033
ISR,2007,0.7393
ISR,2009,0.65517
ISR,2011,0.81001
ISR,2013,0.81615
ISR,2015,0.78056
ISR,2017,0.7998
ISR,2019,0.8361
ISR,2021,0.8885
ISR,2023,0.90143
ITA,2002,0.685
ITA,2003,0.65979
ITA,2004,0.67939
ITA,2007,0.668
ITA,2009,0.57995
ITA,2011,0.71895
ITA,2013,0.7593
ITA,2015,0.77636
ITA,2017,0.8209
ITA,2019,0.8231
ITA,2021,0.8375
ITA,2023,0.83557
CIV,2002,0.0
CIV,2003,0.17291
CIV,2004,0.18204
CIV,2007,0.1853
CIV,2009,0.28045
CIV,2011,0.258
CIV,2013,0.20385
CIV,2015,0.21845
CIV,2017,0.2776
CIV,2019,0.4457
CIV,2021,0.5467
CIV,2023,0.55868
JAM,2002,0.43237
JAM,2003,0.47925
JAM,2004,0.50641
JAM,2007,0.4679
JAM,2009,0.44666
JAM,2011,0.45516
JAM,2013,0.43882
JAM,2015,0.4534
JAM,2017,0.4697
JAM,2019,0.5392
JAM,2021,0.5906
JAM,2023,0.66777
JPN,2002,0.69344
JPN,2003,0.72599
JPN,2004,0.78013
JPN,2007,0.7703
JPN,2009,0.71517
JPN,2011,0.80187
JPN,2013,0.88744
JPN,2015,0.84397
JPN,2017,0.8783
JPN,2019,0.8989
JPN,2021,0.9002
JPN,2023,0.9351
KAZ,2002,0.38661
KAZ,2003,0.43437
KAZ,2004,0.48125
KAZ,2007,0.4743
KAZ,2009,0.55782
KAZ,2011,0.68438
KAZ,2013,0.72827
KAZ,2015,0.72499
KAZ,2017,0.7597
KAZ,2019,0.8375
KAZ,2021,0.8628
KAZ,2023,0.90093
JOR,2002,0.4293
JOR,2003,0.43467
JOR,2004,0.46392
JOR,2007,0.548
JOR,2009,0.52784
JOR,2011,0.48838
JOR,2013,0.51674
JOR,2015,0.51226
JOR,2017,0.5575
JOR,2019,0.5309
JOR,2021,0.6081
JOR,2023,0.68493
KEN,2002,0.29924
KEN,2003,0.29591
KEN,2004,0.32981
KEN,2007,0.3474
KEN,2009,0.33384
KEN,2011,0.42117
KEN,2013,0.38054
KEN,2015,0.41855
KEN,2017,0.4541
KEN,2019,0.5326
KEN,2021,0.5589
KEN,2023,0.6314
PRK,2002,0.0
PRK,2003,0.0
PRK,2004,0.0
PRK,2007,0.0
PRK,2009,0.0
PRK,2011,0.36162
PRK,2013,0.27526
PRK,2015,0.28008
PRK,2017,0.2159
PRK,2019,0.2235
PRK,2021,0.2859
PRK,2023,0.23201
KOR,2002,0.74413
KOR,2003,0.85745
KOR,2004,0.87273
KOR,2007,0.8317
KOR,2009,0.87854
KOR,2011,0.92832
KOR,2013,0.94623
KOR,2015,0.89149
KOR,2017,0.901
KOR,2019,0.956
KOR,2021,0.9529
KOR,2023,0.96789
KWT,2002,0.37011
KWT,2003,0.36491
KWT,2004,0.44312
KWT,2007,0.5202
KWT,2009,0.52901
KWT,2011,0.59602
KWT,2013,0.6268
KWT,2015,0.70795
KWT,2017,0.7388
KWT,2019,0.7913
KWT,2021,0.7484
KWT,2023,0.7812
KGZ,2002,0.32715
KGZ,2003,0.44682
KGZ,2004,0.44171
KGZ,2007,0.4195
KGZ,2009,0.44168
KGZ,2011,0.4879
KGZ,2013,0.46568
KGZ,2015,0.49686
KGZ,2017,0.5835
KGZ,2019,0.6749
KGZ,2021,0.6977
KGZ,2023,0.7316
LAO,2002,0.19161
LAO,2003,0.23286
LAO,2004,0.24208
LAO,2007,0.2383
LAO,2009,0.26371
LAO,2011,0.2935
LAO,2013,0.26588
LAO,2015,0.309
LAO,2017,0.3056
LAO,2019,0.3288
LAO,2021,0.3764
LAO,2023,0.44038
LBN,2002,0.42361
LBN,2003,0.41634
LBN,2004,0.456
LBN,2007,0.484
LBN,2009,0.43875
LBN,2011,0.51388
LBN,2013,0.49823
LBN,2015,0.5646
LBN,2017,0.553
LBN,2019,0.4955
LBN,2021,0.5273
LBN,2023,0.5449
LSO,2002,0.34647
LSO,2003,0.32496
LSO,2004,0.33731
LSO,2007,0.3805
LSO,2009,0.35123
LSO,2011,0.35006
LSO,2013,0.26294
LSO,2015,0.27702
LSO,2017,0.2968
LSO,2019,0.4593
LSO,2021,0.4414
LSO,2023,0.41229
LVA,2002,0.50573
LVA,2003,0.54859
LVA,2004,0.60504
LVA,2007,0.5944
LVA,2009,0.58261
LVA,2011,0.6604
LVA,2013,0.71775
LVA,2015,0.681
LVA,2017,0.6996
LVA,2019,0.7798
LVA,2021,0.8599
LVA,2023,0.88522
LBR,2002,0.0
LBR,2003,0.0
LBR,2004,0.0
LBR,2007,0.217
LBR,2009,0.21333
LBR,2011,0.24073
LBR,2013,0.17682
LBR,2015,0.23378
LBR,2017,0.2737
LBR,2019,0.2605
LBR,2021,0.2905
LBR,2023,0.25133
LBY,2002,0.0
LBY,2003,0.0
LBY,2004,0.0
LBY,2007,0.3546
LBY,2009,0.37985
LBY,2011,0.0
LBY,2013,0.3753
LBY,2015,0.4322
LBY,2017,0.3833
LBY,2019,0.3743
LBY,2021,0.3375
