NOME_PARLAMENTAR;PARTIDO;UF;TITULARIDADE;MANDATO;TELEFONES;DTNASC;EMAIL;CHEFE_GAB;ENDEREÇO
EDUARDO BRAGA;MDB;AM;Titular;2019 / 2027;(61)3303-6230,;06/12/1960;sen.eduardobraga@senado.leg.br;Valéria Simenov Thomé;SENADO FEDERAL ANEXO 1  12º PAVIMENTO  
EDUARDO GIRÃO;NOVO;CE;Titular;2019 / 2027;(61)3303-6677,(61)3303-6678,;25/09/1972;sen.eduardogirao@senado.leg.br;Francisco Maiorana Neto;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 21
EDUARDO GOMES;PL;TO;Titular;2019 / 2027;(61)3303-6349,(61)3303-6352,(61)3303-6354;28/04/1966;sen.eduardogomes@senado.leg.br;Walter Germano De Oliveira;SENADO FEDERAL ANEXO 1  5º PAVIMENTO  
EFRAIM FILHO;UNIÃO;PB;Titular;2023 / 2031;(61)3303-5934,(61)3303-5931,;18/03/1979;sen.efraimfilho@senado.leg.br;Valéria Crysthina Alves Brito Lacerda De Vasconcelos;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 01
ELIZIANE GAMA;PSD;MA;Titular;2019 / 2027;(61)3303-6741,;27/02/1977;sen.elizianegama@senado.leg.br;-;SENADO FEDERAL ANEXO 2   PAVIMENTO TÉRREO 
ESPERIDIÃO AMIN;PP;SC;Titular;2019 / 2027;(61)3303-6446,(61)3303-6447,;21/12/1947;sen.esperidiaoamin@senado.leg.br;Amaro Lucio Da Silva;SENADO FEDERAL ANEXO 2  PAVIMENTO TÉRREO ALA NILO COELHO GABINETE 02
FABIANO CONTARATO;PT;ES;Titular;2019 / 2027;(61)3303-9054,(61)3303-6743,;20/06/1966;sen.fabianocontarato@senado.leg.br;Levi Borges De Oliveira Veríssimo;SENADO FEDERAL ANEXO 1  13º PAVIMENTO  
FERNANDO DUEIRE;MDB;PE;1º Suplente;2019 / 2027;(61)3303-3522,;14/04/1959;sen.fernandodueire@senado.leg.br;Aristeu De Oliveira Plácido Junior;SENADO FEDERAL ANEXO 1  4º PAVIMENTO  
FERNANDO FARIAS;MDB;AL;1º Suplente;2023 / 2031;(61)3303-6266,(61)3303-6273,;06/02/1952;sen.fernandofarias@senado.leg.br;Sergio Balaban;SENADO FEDERAL ANEXO 1  6º PAVIMENTO  
FLÁVIO ARNS;PSB;PR;Titular;2019 / 2027;(61)3303-6301,;09/11/1950;sen.flavioarns@senado.leg.br;Aires Pereira Das Neves Junior;SENADO FEDERAL EDIFÍCIO PRINCIPAL   ALA DINARTE MARIZ GABINETE 02
FLÁVIO BOLSONARO;PL;RJ;Titular;2019 / 2027;(61)3303-1717,(61)3303-1718,;30/04/1981;sen.flaviobolsonaro@senado.leg.br;Miguel Angelo Braga Grillo;SENADO FEDERAL ANEXO 1  17º PAVIMENTO  
GIORDANO;MDB;SP;1º Suplente;2019 / 2027;(61)3303-4177,;26/06/1973;sen.giordano@senado.leg.br;Francisco De Assis Dias;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 07
HAMILTON MOURÃO;REPUBLICANOS;RS;Titular;2023 / 2031;(61)3303-1837,;15/08/1953;sen.hamiltonmourao@senado.leg.br;Daniel Do Prado E Souza;SENADO FEDERAL ANEXO 2   ALA ALEXANDRE COSTA PAVIMENTO TÉRREO GABINETE 03
HUMBERTO COSTA;PT;PE;Titular;2019 / 2027;(61)3303-6285,(61)3303-6286,;07/07/1957;sen.humbertocosta@senado.leg.br;Alethele De Oliveira Santos;SENADO FEDERAL ANEXO 2   ALA RUY CARNEIRO GABINETE 01
IRAJÁ;PSD;TO;Titular;2019 / 2027;(61)3303-6469,(61)3303-6474,;03/02/1983;sen.iraja@senado.leg.br;Vilmar Bomfim Ayres Da Fonseca;SENADO FEDERAL ANEXO 1  21º PAVIMENTO  
IVETE DA SILVEIRA;MDB;SC;1º Suplente;2019 / 2027;(61)3303-2200,;28/05/1943;sen.ivetedasilveira@senado.leg.br;Henrique De Freitas Junqueira;SENADO FEDERAL ANEXO 2   ALA TANCREDO NEVES GABINETE 50
IZALCI LUCAS;PL;DF;Titular;2019 / 2027;(61)3303-6049,(61)3303-6050,;07/04/1956;sen.izalcilucas@senado.leg.br;Maria Margarida De Amorim Rocha;SENADO FEDERAL ANEXO 1  11º PAVIMENTO  
JADER BARBALHO;MDB;PA;Titular;2019 / 2027;(61)3303-9831,(61)3303-9827,(61)3303-9828;27/10/1944;sen.jaderbarbalho@senado.leg.br;Alexandre Andrade;SENADO FEDERAL ANEXO 1  2º PAVIMENTO  
JAIME BAGATTOLI;PL;RO;Titular;2023 / 2031;(61)3303-2714,;26/04/1961;sen.jaimebagattoli@senado.leg.br;Selma Maria Alves Magalhaes;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 23
JAQUES WAGNER;PT;BA;Titular;2019 / 2027;(61)3303-6390,(61)3303-6391,;16/03/1951;sen.jaqueswagner@senado.leg.br;Elida Da Costa Silva;SENADO FEDERAL ANEXO 1  23º PAVIMENTO  
JAYME CAMPOS;UNIÃO;MT;Titular;2019 / 2027;(61)3303-2390,(61)3303-2384,;13/09/1951;sen.jaymecampos@senado.leg.br;-;SENADO FEDERAL ANEXO II BLOCO A TÉRREO ALA AFFONSO ARINOS GABINETE 09
JORGE KAJURU;PSB;GO;Titular;2019 / 2027;(61)3303-2844,(61)3303-2031,;20/01/1961;sen.jorgekajuru@senado.leg.br;Murilo De Souza Arrais;SENADO FEDERAL ANEXO 2   ALA NILO COELHO 1º PAVIMENTO GABINETE 10
JORGE SEIF;PL;SC;Titular;2023 / 2031;(61)3303-3784,(61)3303-3756,;10/05/1977;sen.jorgeseif@senado.leg.br;Rafael Augusto Luisi De Oliveira;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 16
JUSSARA LIMA;PSD;PI;1º Suplente;2023 / 2031;(61)3303-5800,;05/12/1960;sen.jussaralima@senado.leg.br;Jacqueline Mousinho Macario;SENADO FEDERAL ANEXO 2   ALA RUY CARNEIRO GABINETE 04
LAÉRCIO OLIVEIRA;PP;SE;Titular;2023 / 2031;(61)3303-1763,(61)3303-1764,;15/04/1959;sen.laerciooliveira@senado.leg.br;Marcelo Lopes Da Ponte;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 09
LEILA BARROS;PDT;DF;Titular;2019 / 2027;(61)3303-6427,;30/09/1971;sen.leilabarros@senado.leg.br;Ricarda Raquel Barbosa Lima;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 03
LUCAS BARRETO;PSD;AP;Titular;2019 / 2027;(61)3303-4851,;10/11/1964;sen.lucasbarreto@senado.leg.br;Cassio Ruy Caporal;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 02
LUIS CARLOS HEINZE;PP;RS;Titular;2019 / 2027;(61)3303-4124,(61)3303-4127,;14/09/1950;sen.luiscarlosheinze@senado.leg.br;-;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 05
MAGNO MALTA;PL;ES;Titular;2023 / 2031;(61)3303-6370,;16/10/1957;sen.magnomalta@senado.leg.br;Diego Veloso Ferreira;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 06
MARA GABRILLI;PSD;SP;Titular;2019 / 2027;(61)3303-2191,(61)3303-2775;28/09/1967;sen.maragabrilli@senado.leg.br;Melina Pappas Arruda Gil;SENADO FEDERAL EDIFÍCIO PRINCIPAL   ALA ANTÔNIO CARLOS MAGALHÃES GABINETE 05
MARCELO CASTRO;MDB;PI;Titular;2019 / 2027;(61)3303-6130,(61)3303-4078,;09/06/1950;sen.marcelocastro@senado.leg.br;José Da Guia Guimarães;SENADO FEDERAL ANEXO 1  14º PAVIMENTO  
MARCIO BITTAR;UNIÃO;AC;Titular;2019 / 2027;(61)3303-2115,(61)3303-2119,;28/06/1963;sen.marciobittar@senado.leg.br;-;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 12
MARCOS DO VAL;PODEMOS;ES;Titular;2019 / 2027;(61)3303-6747,(61)3303-6753,;15/06/1971;sen.marcosdoval@senado.leg.br;Silvia Ligia Suassuna De Vasconcelos;SENADO FEDERAL ANEXO 1  18º PAVIMENTO  
MARCOS ROGÉRIO;PL;RO;Titular;2019 / 2027;(61)3303-6148,;07/07/1978;sen.marcosrogerio@senado.leg.br;-;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 02
MARGARETH BUZETTI;PSD;MT;1º Suplente;2019 / 2027;(61)3303-6408,;31/10/1959;sen.margarethbuzetti@senado.leg.br;Daniel Lopes Amaral;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 15
MECIAS DE JESUS;REPUBLICANOS;RR;Titular;2019 / 2027;(61)3303-5291,(61)3303-5292,;08/02/1962;sen.meciasdejesus@senado.leg.br;-;SENADO FEDERAL ANEXO 2   ALA RUY CARNEIRO GABINETE 02
NELSINHO TRAD FILHO;PSD;MS;Titular;2019 / 2027;(61)3303-6767,(61)3303-6768,;05/09/1961;sen.nelsinhotrad@senado.leg.br;Maria Genilse Dos Santos;SENADO FEDERAL ANEXO 1  24º PAVIMENTO  
OMAR AZIZ;PSD;AM;Titular;2023 / 2031;(61)3303-6579,(61)3303-6581,;13/08/1958;sen.omaraziz@senado.leg.br;Renan Fernandes Do Nascimento;SENADO FEDERAL ANEXO 2   ALA FILINTO MÜLLER GABINETES 01/03
ORIOVISTO GUIMARÃES;PSDB;PR;Titular;2019 / 2027;(61)3303-1635,;12/08/1945;sen.oriovistoguimaraes@senado.leg.br;Henrique Fernando De Andrade Pereira;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 25
OTTO ALENCAR;PSD;BA;Titular;2023 / 2031;(61)3303-3172,(61)3303-1464,;28/08/1947;sen.ottoalencar@senado.leg.br;Fábio De Rezende Scarton Coutinho;SENADO FEDERAL ANEXO 2   ALA TANCREDO NEVES GABINETE 51
PAULO PAIM;PT;RS;Titular;2019 / 2027;(61)3303-5232,(61)3303-5231,;15/03/1950;sen.paulopaim@senado.leg.br;Ivanete Ferronatto;SENADO FEDERAL ANEXO 1  22º PAVIMENTO  
PLÍNIO VALÉRIO;PSDB;AM;Titular;2019 / 2027;(61)3303-2898,(61)3303-2800,;31/01/1955;sen.pliniovalerio@senado.leg.br;Glaucia Maria De Borba Benevides Gadelha;SENADO FEDERAL ANEXO 1  25º PAVIMENTO  
PROFESSORA DORINHA SEABRA;UNIÃO;TO;Titular;2023 / 2031;(61)3303-5990,(61)3303-5995,;01/10/1964;sen.professoradorinhaseabra@senado.leg.br;Rejane Cristina Camarço De Souza Lino;SENADO FEDERAL ANEXO 1  26º PAVIMENTO  
RANDOLFE RODRIGUES;PT;AP;Titular;2019 / 2027;(61)3303-6777,(61)3303-6568,;06/11/1972;sen.randolferodrigues@senado.leg.br;Ricardo Leão Dias;SENADO FEDERAL ANEXO 1  9º PAVIMENTO  
RENAN CALHEIROS;MDB;AL;Titular;2019 / 2027;(61)3303-2262,(61)3303-2269,;16/09/1955;sen.renancalheiros@senado.leg.br;Antônio Helder Medeiros Rebouças;SENADO FEDERAL ANEXO 1  15º PAVIMENTO  
RODRIGO PACHECO;PSD;MG;Titular;2019 / 2027;(61)3303-2794,(61)3303-2795,;03/11/1976;sen.rodrigopacheco@senado.leg.br;João Batista Marques;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 24
ROGÉRIO CARVALHO;PT;SE;Titular;2019 / 2027;(61)3303-2201,(61)3303-2203,;02/08/1968;sen.rogeriocarvalho@senado.leg.br;Frederico De Pina Álvares Filho;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 12
ROGERIO MARINHO;PL;RN;Titular;2023 / 2031;(61)3303-1826,;26/11/1963;sen.rogeriomarinho@senado.leg.br;Daniel De Oliveira Duarte Ferreira;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 11
ROMÁRIO;PL;RJ;Titular;2023 / 2031;(61)3303-6519,(61)3303-6517,(61)3303-6520;29/01/1966;sen.romario@senado.leg.br;Wester Eliezer Silva Santos;SENADO FEDERAL ANEXO 2   ALA NILO COELHO PAVIMENTO TÉRREO GABINETE 11
SERGIO MORO;UNIÃO;PR;Titular;2023 / 2031;(61)3303-6202,;01/08/1972;sen.sergiomoro@senado.leg.br;Lucas Alves De Lima Barros De Góes;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 04
SÉRGIO PETECÃO;PSD;AC;Titular;2019 / 2027;(61)3303-4086,(61)3303-6708,;20/04/1960;sen.sergiopetecao@senado.leg.br;-;SENADO FEDERAL ANEXO 2   ALA TANCREDO NEVES GABINETE 54
SORAYA THRONICKE;PODEMOS;MS;Titular;2019 / 2027;(61)3303-1775,;01/06/1973;sen.sorayathronicke@senado.leg.br;Vanda Josefina Branchine;SENADO FEDERAL EDIFÍCIO PRINCIPAL   ALA DINARTE MARIZ GABINETE 01
STYVENSON VALENTIM;PSDB;RN;Titular;2019 / 2027;(61)3303-1148,;07/02/1977;sen.styvensonvalentim@senado.leg.br;Davi Anjos Paiva;SENADO FEDERAL ANEXO 2 ALA ALEXANDRE COSTA 1º PAVIMENTO  GABINETE 01
TERESA LEITÃO;PT;PE;Titular;2023 / 2031;(61)3303-2423,;07/10/1951;sen.teresaleitao@senado.leg.br;Carlos Augusto Abicalil;SENADO FEDERAL ANEXO 2   ALA RUY CARNEIRO GABINETE 03
TEREZA CRISTINA;PP;MS;Titular;2023 / 2031;(61)3303-2431,;06/07/1954;sen.terezacristina@senado.leg.br;Maria Adyleane Dos Santos Medeiros;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 01
VANDERLAN CARDOSO;PSD;GO;Titular;2019 / 2027;(61)3303-2092,(61)3303-2099,;15/11/1962;sen.vanderlancardoso@senado.leg.br;-;SENADO FEDERAL ANEXO 2   ALA AFFONSO ARINOS GABINETE 13
VENEZIANO VITAL DO RÊGO;MDB;PB;Titular;2019 / 2027;(61)3303-2252,(61)3303-2481,;17/07/1970;sen.venezianovitaldorego@senado.leg.br;Daniel Queiroz De Medeiros Chianca;SENADO FEDERAL ANEXO 1  20º PAVIMENTO  
WELLINGTON FAGUNDES;PL;MT;Titular;2023 / 2031;(61)3303-6219,(61)3303-3778,;01/06/1957;sen.wellingtonfagundes@senado.leg.br;Fábio Gondim Pereira Da Costa;SENADO FEDERAL ANEXO 1  19º PAVIMENTO  
WEVERTON;PDT;MA;Titular;2019 / 2027;(61)3303-4161,(61)3303-1655,;08/10/1979;sen.wevertonrocha@senado.leg.br;Cristina Lino Coêlho Stuckert;SENADO FEDERAL ANEXO 2   ALA TANCREDO NEVES GABINETE 57
WILDER MORAIS;PL;GO;Titular;2023 / 2031;(61)3303-6440,;29/06/1968;sen.wildermorais@senado.leg.br;Thiago Araújo Mascarenhas;SENADO FEDERAL ANEXO 2   ALA ALEXANDRE COSTA 1º PAVIMENTO GABINETE 21
ZENAIDE MAIA;PSD;RN;Titular;2019 / 2027;(61)3303-2371,(61)3303-2372,;27/11/1954;sen.zenaidemaia@senado.leg.br;Daniel Vieira Rodrigues;SENADO FEDERAL ANEXO 1  8º PAVIMENTO  
ZEQUINHA MARINHO;PODEMOS;PA;Titular;2019 / 2027;(61)3303-6623,;18/09/1959;sen.zequinhamarinho@senado.leg.br;Alexandre Bodani Cavalcante;SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 18
